2020-11-03,餐饮,Test,-26.0
2020-11-03,生活,Test,-66.95
2020-11-03,学习,Test,0
2020-11-03,娱乐,Test,-0.0
2020-11-03,医疗,Test,-0.0
2020-11-03,其他,Test,-0.0
2020-11-03,收入,Test,50.0
2020-11-04,餐饮,Test,-12.9
2020-11-04,生活,Test,-5.0
2020-11-04,学习,Test,0
2020-11-04,娱乐,Test,-0.0
2020-11-04,医疗,Test,-0.0
2020-11-04,其他,Test,-0.0
2020-11-04,收入,Test,50.0
2020-11-05,餐饮,Test,-26.9
2020-11-05,生活,Test,-0.0
2020-11-05,学习,Test,0
2020-11-05,娱乐,Test,-0.0
2020-11-05,医疗,Test,-0.0
2020-11-05,其他,Test,-0.0
2020-11-05,收入,Test,50.0
2020-11-06,餐饮,Test,-25.5
2020-11-06,生活,Test,-6.5
2020-11-06,学习,Test,0
2020-11-06,娱乐,Test,-0.0
2020-11-06,医疗,Test,-0.0
2020-11-06,其他,Test,-0.0
2020-11-06,收入,Test,50.0
2020-11-07,餐饮,Test,-19.0
2020-11-07,生活,Test,-9.5
2020-11-07,学习,Test,0
2020-11-07,娱乐,Test,-0.0
2020-11-07,医疗,Test,-0.0
2020-11-07,其他,Test,-0.0
2020-11-07,收入,Test,50.0
2020-11-08,餐饮,Test,-21.0
2020-11-08,生活,Test,-0.0
2020-11-08,学习,Test,0
2020-11-08,娱乐,Test,-0.0
2020-11-08,医疗,Test,-0.0
2020-11-08,其他,Test,-0.0
2020-11-08,收入,Test,50.0
2020-11-09,餐饮,Test,-24.4
2020-11-09,生活,Test,-9.5
2020-11-09,学习,Test,0
2020-11-09,娱乐,Test,-0.0
2020-11-09,医疗,Test,-0.0
2020-11-09,其他,Test,-0.0
2020-11-09,收入,Test,50.0
2020-11-10,餐饮,Test,-34.5
2020-11-10,生活,Test,-6.8
2020-11-10,学习,Test,0
2020-11-10,娱乐,Test,-0.0
2020-11-10,医疗,Test,-0.0
2020-11-10,其他,Test,-6.0
2020-11-10,收入,Test,50.0
2020-11-11,餐饮,Test,-27.9
2020-11-11,生活,Test,-0.0
2020-11-11,学习,Test,0
